X,Y,OBJECTID,STREETID,NSGID,STREET,UNITID,UNITNO,UNITTYPE,LOCATION,HEIGHT,OWNER
359683.330039724,398736.960008388,34711,2183,44102302,Millingford Avenue,057547,0002,L,O/S 8/10,6,BE
359709.660040975,398742.980008673,34712,2183,44102302,Millingford Avenue,057548,0003,L,O/S 5,6,BE
359740.640042447,398748.38000893,34713,2183,44102302,Millingford Avenue,057549,0004,L,O/S 26/28,6,BE
359768.550043772,398769.310009925,34714,2183,44102302,Millingford Avenue,057550,0005,L,O/S 17/19,6,BE
359806.720045585,398777.930010334,34715,2183,44102302,Millingford Avenue,057551,0006,L,O/S 42/44,6,BE
359839.960047164,398792.630011031,34716,2183,44102302,Millingford Avenue,057552,0007,L,O/S 50/52,6,BE
359871.420048658,398806.590011695,34717,2183,44102302,Millingford Avenue,057553,0008,L,O/S 56A/56B,6,BE
359866.160048408,398839.900013277,34718,2183,44102302,Millingford Avenue,057554,0009,L,O/S 43,6,BE
359874.090048784,398870.470014729,34719,2183,44102302,Millingford Avenue,057555,0010,L,O/S 66,6,BE
359865.130048359,398898.380016055,34720,2183,44102302,Millingford Avenue,057556,0011,L,OPP 72,6,BE
359877.920048967,398916.510016916,34721,2183,44102302,Millingford Avenue,057557,0012,L,O/S 74/76,6,BE
359843.580047335,398872.230014812,34722,823,44100886,Croft Avenue,057558,0001,L,OPP 4,6,BE
359803.510045432,398855.74001403,34723,823,44100886,Croft Avenue,057559,0003,L,O/S 22/24,6,BE
359802.760045397,398819.690012317,34724,823,44100886,Croft Avenue,057560,0004,L,O/S 30/32,6,BE
361909.180045446,397191.44003498,34725,416,44100448,Bromley Avenue,057561,0001,L,ADJ 1,6,BE
361898.170044923,397227.630036699,34726,416,44100448,Bromley Avenue,057562,0002,L,O/S 6,6,BE
361958.980047812,397192.800035045,34727,31,44100035,Alderley Avenue,057563,0001,L,ADJ 1,6,BE
361922.800046093,397169.610033942,34728,31,44100035,Alderley Avenue,057564,0002,L,O/S 7,6,BE
361748.460037813,397388.580044342,34729,2737,44102880,Rutland Avenue,057565,0001,L,O/S 2/4,6,BE
361772.680038963,397372.570043582,34730,2737,44102880,Rutland Avenue,057566,0002,L,O/S 5,6,BE
361793.400039947,397336.73004188,34731,2737,44102880,Rutland Avenue,057567,0003,L,O/S 16/18,6,BE
